GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
crud,com.ekan.avaliacao,SecurityConfiguration,0,48,0,0,0,13,0,4,0,4
crud,com.ekan.avaliacao,AvaliacaoApplication,5,3,0,0,2,1,1,1,1,1
crud,com.ekan.avaliacao,SwaggerConfig,0,15,0,0,0,6,0,2,0,2
crud,com.ekan.avaliacao.model.entity,Documento,35,66,0,0,1,9,1,14,1,14
crud,com.ekan.avaliacao.model.entity,Beneficiario,53,62,0,0,1,9,2,13,2,13
crud,com.ekan.avaliacao.exception,GlobalExceptionHandler,54,3,0,0,6,1,3,1,3,1
crud,com.ekan.avaliacao.exception,InternalServerErrorException,0,4,0,0,0,2,0,1,0,1
crud,com.ekan.avaliacao.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
crud,com.ekan.avaliacao.exception,ErrorDetails,21,0,0,0,4,0,4,0,4,0
crud,com.ekan.avaliacao.model.dto.input,BeneficiarioInputDTO,19,27,0,0,2,5,5,5,5,5
crud,com.ekan.avaliacao.model.dto.input,DocumentoInputDTO,8,15,0,0,1,3,2,3,2,3
crud,com.ekan.avaliacao.model.dto.input,BeneficiarioUpdateDTO,15,21,0,0,2,4,4,4,4,4
crud,com.ekan.avaliacao.service,DocumentoService,0,77,0,2,0,26,0,6,0,5
crud,com.ekan.avaliacao.service,BeneficiarioService,0,184,0,10,0,52,0,11,0,6
crud,com.ekan.avaliacao.controller,DocumentoController,0,21,0,2,0,5,0,3,0,2
crud,com.ekan.avaliacao.controller,BeneficiarioController,0,72,0,6,0,17,0,8,0,5
crud,com.ekan.avaliacao.model.dto,DocumentoDTO,27,39,0,0,2,7,7,7,7,7
crud,com.ekan.avaliacao.model.dto,BeneficiarioDTO,3,73,0,0,1,9,1,15,1,15
